008000	018000	028000	038000	048000	058000	068000	078000
388000	398000	3A8000	3B8000	3C8000	3D8000	3E8000	3F8000
108000	118000	128000	138000	148000	158000	168000	178000
208000	218000	228000	238000	248000	258000	268000	278000
088000	098000	0A8000	0B8000	0C8000	0D8000	0E8000	0F8000
389000	399000	3A9000	3B9000	3C9000	3D9000	3E9000	3F9000
288000	298000	2A8000	2B8000	2C8000	2D8000	2E8000	2F8000
308000	318000	328000	338000	348000	358000	368000	378000
188000	198000	1A8000	1B8000	1C8000	1D8000	1E8000	1F8000
089000	099000	0A9000	0B9000	0C9000	0D9000	0E9000	0F9000
309000	319000	329000	339000	349000	359000	369000	379000
009000	019000	029000	039000	049000	059000	069000	079000
109000	119000	129000	139000	149000	159000	169000	179000
289000	299000	2A9000	2B9000	2C9000	2D9000	2E9000	2F9000
189000	199000	1A9000	1B9000	1C9000	1D9000	1E9000	1F9000
209000	219000	229000	239000	249000	259000	269000	279000

LEFT AFTER 400 SEC
							078000
							
				148000			
							
							0F8000
							
							
188000							
		0A9000	0B9000				
						369000	
			039000				
						169000	
							
							
							
